cell quad (fq1) -> results/runs/quad_fq1.json | workloads ['mix_het', 'mix_hom'] | arms ['bo'] | seeds 0..1 | 180 designs per run
[bo-fq1-s0] 180 designs, batches of 3, 3 to warm up | mix_het+mix_hom | stock 0.6210
[bo-fq1-s1] 180 designs, batches of 3, 3 to warm up | mix_het+mix_hom | stock 0.6210
[bo-fq1-s0] round 35 | D106 | ipc=1.0635 | best 1.0890 | forest | 404 min
[bo-fq1-s0] round 35 | D107 | ipc=1.0889 | best 1.0890 | forest | 404 min
[bo-fq1-s0] round 35 | D108 | ipc=1.0406 | best 1.0890 | forest | 404 min
[bo-fq1-s1] round 37 | D112 | ipc=1.0880 | best 1.0943 | forest | 406 min
[bo-fq1-s1] round 37 | D113 | ipc=1.0153 | best 1.0943 | forest | 406 min
[bo-fq1-s1] round 37 | D114 | ipc=0.9470 | best 1.0943 | forest | 406 min
[bo-fq1-s0] round 36 | D109 | ipc=1.0628 | best 1.0890 | forest | 412 min
[bo-fq1-s0] round 36 | D110 | ipc=1.0341 | best 1.0890 | forest | 412 min
[bo-fq1-s0] round 36 | D111 | ipc=1.0260 | best 1.0890 | forest | 412 min
[bo-fq1-s1] round 38 | D115 | ipc=0.8627 | best 1.0943 | forest | 416 min
[bo-fq1-s1] round 38 | D116 | ipc=1.0723 | best 1.0943 | forest | 416 min
[bo-fq1-s1] round 38 | D117 | ipc=1.0595 | best 1.0943 | forest | 416 min
[bo-fq1-s0] round 37 | D112 | ipc=1.0637 | best 1.0890 | forest | 423 min
[bo-fq1-s0] round 37 | D113 | ipc=1.0195 | best 1.0890 | forest | 423 min
[bo-fq1-s0] round 37 | D114 | ipc=1.0175 | best 1.0890 | forest | 423 min
[bo-fq1-s1] round 39 | D118 | ipc=1.0855 | best 1.0943 | forest | 425 min
[bo-fq1-s1] round 39 | D119 | ipc=1.0869 | best 1.0943 | forest | 425 min
[bo-fq1-s1] round 39 | D120 | ipc=1.0903 | best 1.0943 | forest | 425 min
[bo-fq1-s0] round 38 | D115 | ipc=1.0845 | best 1.0890 | forest | 433 min
[bo-fq1-s0] round 38 | D116 | ipc=0.9296 | best 1.0890 | forest | 433 min
[bo-fq1-s0] round 38 | D117 | ipc=0.8297 | best 1.0890 | forest | 433 min
[bo-fq1-s1] round 40 | D121 | ipc=0.8891 | best 1.0943 | forest | 435 min
[bo-fq1-s1] round 40 | D122 | ipc=1.0802 | best 1.0943 | forest | 435 min
[bo-fq1-s1] round 40 | D123 | ipc=1.0380 | best 1.0943 | forest | 435 min
[bo-fq1-s0] round 39 | D118 | ipc=1.0501 | best 1.0890 | forest | 441 min
[bo-fq1-s0] round 39 | D119 | ipc=1.0811 | best 1.0890 | forest | 441 min
[bo-fq1-s0] round 39 | D120 | ipc=0.9338 | best 1.0890 | forest | 441 min
[bo-fq1-s1] round 41 | D124 | ipc=1.0880 | best 1.0943 | forest | 444 min
[bo-fq1-s1] round 41 | D125 | ipc=1.0499 | best 1.0943 | forest | 444 min
[bo-fq1-s1] round 41 | D126 | ipc=0.9909 | best 1.0943 | forest | 444 min
[bo-fq1-s0] round 40 | D121 | ipc=0.9821 | best 1.0890 | forest | 451 min
[bo-fq1-s0] round 40 | D122 | ipc=0.9246 | best 1.0890 | forest | 451 min
[bo-fq1-s0] round 40 | D123 | ipc=1.0870 | best 1.0890 | forest | 451 min
[bo-fq1-s1] round 42 | D127 | ipc=0.9391 | best 1.0943 | forest | 453 min
[bo-fq1-s1] round 42 | D128 | ipc=0.8964 | best 1.0943 | forest | 453 min
[bo-fq1-s1] round 42 | D129 | ipc=1.0470 | best 1.0943 | forest | 453 min
[bo-fq1-s0] round 41 | D124 | ipc=1.0543 | best 1.0890 | forest | 461 min
[bo-fq1-s0] round 41 | D125 | ipc=1.0533 | best 1.0890 | forest | 461 min
[bo-fq1-s0] round 41 | D126 | ipc=1.0374 | best 1.0890 | forest | 461 min
[bo-fq1-s1] round 43 | D130 | ipc=1.0799 | best 1.0943 | forest | 463 min
[bo-fq1-s1] round 43 | D131 | ipc=1.0795 | best 1.0943 | forest | 463 min
[bo-fq1-s1] round 43 | D132 | ipc=1.0810 | best 1.0943 | forest | 463 min
[bo-fq1-s0] round 42 | D127 | ipc=1.0761 | best 1.0890 | forest | 471 min
[bo-fq1-s0] round 42 | D128 | ipc=1.0805 | best 1.0890 | forest | 471 min
[bo-fq1-s0] round 42 | D129 | ipc=1.0027 | best 1.0890 | forest | 471 min
[bo-fq1-s1] round 44 | D133 | ipc=1.0664 | best 1.0943 | forest | 473 min
[bo-fq1-s1] round 44 | D134 | ipc=1.0910 | best 1.0943 | forest | 473 min
[bo-fq1-s1] round 44 | D135 | ipc=1.0090 | best 1.0943 | forest | 473 min
[bo-fq1-s0] round 43 | D130 | ipc=1.0775 | best 1.0890 | forest | 481 min
[bo-fq1-s0] round 43 | D131 | ipc=1.0604 | best 1.0890 | forest | 481 min
[bo-fq1-s0] round 43 | D132 | ipc=1.0494 | best 1.0890 | forest | 481 min
[bo-fq1-s1] round 45 | D136 | ipc=1.0881 | best 1.0943 | forest | 482 min
[bo-fq1-s1] round 45 | D137 | ipc=1.0899 | best 1.0943 | forest | 482 min
[bo-fq1-s1] round 45 | D138 | ipc=1.0848 | best 1.0943 | forest | 482 min
[bo-fq1-s0] round 44 | D133 | ipc=1.0707 | best 1.0890 | forest | 489 min
[bo-fq1-s0] round 44 | D134 | ipc=1.0613 | best 1.0890 | forest | 489 min
[bo-fq1-s0] round 44 | D135 | ipc=1.0496 | best 1.0890 | forest | 489 min
[bo-fq1-s1] round 46 | D139 | ipc=1.0779 | best 1.0943 | forest | 491 min
[bo-fq1-s1] round 46 | D140 | ipc=0.9908 | best 1.0943 | forest | 491 min
[bo-fq1-s1] round 46 | D141 | ipc=1.0649 | best 1.0943 | forest | 491 min
[bo-fq1-s0] round 45 | D136 | ipc=1.0732 | best 1.0890 | forest | 499 min
[bo-fq1-s0] round 45 | D137 | ipc=1.0272 | best 1.0890 | forest | 499 min
[bo-fq1-s0] round 45 | D138 | ipc=0.9916 | best 1.0890 | forest | 499 min
[bo-fq1-s1] round 47 | D142 | ipc=1.0751 | best 1.0943 | forest | 501 min
[bo-fq1-s1] round 47 | D143 | ipc=1.0737 | best 1.0943 | forest | 501 min
[bo-fq1-s1] round 47 | D144 | ipc=1.0873 | best 1.0943 | forest | 501 min
[bo-fq1-s0] round 46 | D139 | ipc=1.0760 | best 1.0890 | forest | 508 min
[bo-fq1-s0] round 46 | D140 | ipc=1.0861 | best 1.0890 | forest | 508 min
[bo-fq1-s0] round 46 | D141 | ipc=1.0510 | best 1.0890 | forest | 508 min
