cell aiml (mf1) -> results/runs/aiml_mf1.json | workloads ['llama2.c-llama2_7b.1', 'stable-diffusion.cpp-v1-5-pruned-emaonly.1', 'clip_trace_1'] | arms ['bo'] | seeds 0..1 | 180 designs per run
[bo-mf1-s1] 180 designs, batches of 3, 3 to warm up | llama2.c-llama2_7b.1+stable-diffusion.cpp-v1-5-pruned-emaonly.1+clip_trace_1 | stock 0.8457
[bo-mf1-s0] 180 designs, batches of 3, 3 to warm up | llama2.c-llama2_7b.1+stable-diffusion.cpp-v1-5-pruned-emaonly.1+clip_trace_1 | stock 0.8457
[bo-mf1-s0] round 44 | D134 | ipc=1.2310 | best 1.2330 | forest | 69 min
[bo-mf1-s0] round 44 | D135 | ipc=1.1554 | best 1.2330 | forest | 69 min
[bo-mf1-s1] round 41 | D124 | ipc=1.2186 | best 1.2186 | forest | 71 min
[bo-mf1-s1] round 41 | D125 | ipc=1.1184 | best 1.2186 | forest | 71 min
[bo-mf1-s1] round 41 | D126 | ipc=1.1956 | best 1.2186 | forest | 71 min
[bo-mf1-s1] round 42 | D127 | ipc=0.9703 | best 1.2186 | forest | 71 min
[bo-mf1-s1] round 42 | D128 | ipc=1.1969 | best 1.2186 | forest | 71 min
[bo-mf1-s1] round 42 | D129 | ipc=1.2173 | best 1.2186 | forest | 71 min
[bo-mf1-s0] round 45 | D136 | ipc=1.0758 | best 1.2330 | forest | 71 min
[bo-mf1-s0] round 45 | D137 | ipc=1.1180 | best 1.2330 | forest | 71 min
[bo-mf1-s0] round 45 | D138 | ipc=1.2270 | best 1.2330 | forest | 71 min
[bo-mf1-s1] round 43 | D130 | ipc=1.1969 | best 1.2186 | forest | 72 min
[bo-mf1-s1] round 43 | D131 | ipc=1.1969 | best 1.2186 | forest | 72 min
[bo-mf1-s1] round 43 | D132 | ipc=1.1816 | best 1.2186 | forest | 72 min
[bo-mf1-s0] round 46 | D139 | ipc=1.1648 | best 1.2330 | forest | 74 min
